nameseq,k1,k2,k3,label
lcl|Zmarina_Zosma139g00030.1,1.945854143695042,3.8407817345747324,5.565720639943022,0
lcl|Zmarina_Zosma139g00070.1,1.970606290204803,3.8846760091638393,5.703925111574593,0
lcl|Zmarina_Zosma139g00310.1,1.9817427709549138,3.9093720789607116,5.770273617661282,0
lcl|Zmarina_Zosma139g00400.1,1.9909640385233294,3.904518254436751,5.625732462599295,0
lcl|Zmarina_Zosma13g00410.1,1.951695686471837,3.850542529618378,5.61984185211108,0
lcl|Zmarina_Zosma13g00580.1,1.914337141103082,3.7531971939442266,5.457658289565825,0
lcl|Zmarina_Zosma13g00650.1,1.977116612801221,3.91093056039,5.742223496511313,0
lcl|Zmarina_Zosma13g00790.1,1.9360750232515882,3.8386178760268455,5.567892990771539,0
lcl|Zmarina_Zosma13g01210.1,1.9599743915678227,3.8465481404074957,5.691429870080579,0
lcl|Zmarina_Zosma13g01270.1,1.653909165711409,3.2337132915637796,4.297013986345624,0
lcl|Zmarina_Zosma13g01320.1,1.9869969601933735,3.9342792614724553,5.734141097659482,0
lcl|Zmarina_Zosma140g00220.1,1.9869142621160094,3.934188043809044,5.808509489653404,0
lcl|Zmarina_Zosma140g00310.1,1.9072433943693532,3.7602182798479453,5.489435000965495,0
lcl|Zmarina_Zosma141g00010.1,1.9380322602473088,3.794166515670445,5.576886578737062,0
lcl|Zmarina_Zosma1429g00010.1,1.9815504022384216,3.896634600264859,5.680001075547258,0
lcl|Zmarina_Zosma142g00040.1,1.9564069220817577,3.8813951884214335,5.738012800044782,0
lcl|Zmarina_Zosma142g00090.1,1.9820902768895299,3.9489486449425684,5.797978469689794,0
lcl|Zmarina_Zosma142g00190.1,1.8222929701661283,3.6306621573908435,5.385716577003751,0
lcl|Zmarina_Zosma142g00220.1,1.921935548065684,3.811353836885315,5.636436375761705,0
lcl|Zmarina_Zosma142g00240.1,1.9901413132276526,3.921392284732444,5.732349560972372,0
lcl|Zmarina_Zosma1430g00010.1,1.6104902695337597,3.0675943227485316,3.893228300466313,0
lcl|Zmarina_Zosma143g00090.1,1.992185793297973,3.9211300072489,5.707443321744684,0
lcl|Zmarina_Zosma144g00040.1,1.9394298461663082,3.8173901271168913,5.5264141176621,0
lcl|Zmarina_Zosma144g00060.1,1.9878402829616542,3.9350675956045746,5.784765344996552,0
lcl|Zmarina_Zosma144g00350.1,1.9873136292195954,3.908923661912354,5.7111236959520815,0
lcl|Zmarina_Zosma144g00370.1,1.9874842180919468,3.928186668217621,5.768174329816484,0
lcl|Zmarina_Zosma1458g00010.1,1.935404023754204,3.8034817466339392,5.57770027934321,0
lcl|Zmarina_Zosma145g00030.1,1.9880105207862013,3.9434395369413147,5.762567761185513,0
lcl|Zmarina_Zosma145g00140.1,1.9852707144868758,3.930251829434652,5.815888021179147,0
lcl|Zmarina_Zosma146g00120.1,1.9658503425701457,3.899140984064287,5.802594984893796,0
lcl|Zmarina_Zosma146g00130.1,1.9764697598766623,3.8989109441620857,5.762361751024092,0
lcl|Zmarina_Zosma146g00800.1,1.963065713376427,3.880373260015449,5.684337073249029,0
lcl|Zmarina_Zosma146g00830.1,1.9689443015893995,3.7806963501725304,5.462031661027537,0
lcl|Zmarina_Zosma147g00020.1,1.9683065950543044,3.894622374351254,5.734826706598818,0
lcl|Zmarina_Zosma147g00220.1,1.9444169442536081,3.8665242229816545,5.709386654382635,0
lcl|Zmarina_Zosma147g00280.1,1.948480506346089,3.878671867581314,5.71753533546247,0
lcl|Zmarina_Zosma147g00350.1,1.930258360221705,3.8284588509355726,5.624467168408829,0
lcl|Zmarina_Zosma148g00060.1,1.970607995235623,3.888596811553499,5.720570283578469,0
lcl|Zmarina_Zosma148g00350.1,1.9129775573738153,3.8034319642662084,5.64288930085787,0
lcl|Zmarina_Zosma149g00010.1,1.9660960743523335,3.8915948989298585,5.6781661791229405,0
lcl|Zmarina_Zosma149g00130.1,1.9481113894901938,3.8603647302210478,5.684007020467052,0
lcl|Zmarina_Zosma149g00330.1,1.9762843481220929,3.8964532637017264,5.744349072013231,0
