nameseq,k1,k2,k3,label
Zosma03g28640.1,1.9575419009293054,3.8682292381146994,5.640178288142496,1
Zosma01g10150.1,1.954307220291629,3.8802473216881177,5.79365146815909,1
Zosma05g21540.1,1.9532852226306268,3.8523046041071147,5.615300929060936,1
Zosma04g19340.1,1.9815599009964031,3.944853077192676,5.88167750801161,1
Zosma05g17450.1,1.9886064515795692,3.945860174610818,5.860189533870195,1
Zosma02g24590.1,1.972728782680064,3.9085734536525787,5.809027204508713,1
Zosma03g32470.1,1.9624450306909091,3.8891910320906296,5.7868228498082175,1
Zosma06g16820.1,1.9809158255965205,3.894774911463501,5.591247998855137,1
Zosma02g21940.1,1.9867459418122153,3.9157993359819923,5.7691659604053225,1
Zosma04g25860.1,1.9943465930489068,3.9518084390652644,5.8593940663288775,1
Zosma01g26930.1,1.9595909082683023,3.8720091617731556,5.770870831334039,1
Zosma04g11940.1,1.9601271911756752,3.8994005927114332,5.814619283241396,1
Zosma04g12090.1,1.9336929094414788,3.7877191461427175,5.565311603563705,1
Zosma199g00010.1,1.9940051688802236,3.9224736246646947,5.719963927480786,1
Zosma06g15510.1,1.9857545983178202,3.9473177203828693,5.8327363704598385,1
Zosma05g20460.1,1.9590090480650917,3.8711566599041882,5.716956594515265,1
Zosma05g21250.1,1.9860606861096766,3.9430292197212258,5.8506021691116725,1
Zosma03g10510.1,1.9517885685691465,3.8829154723998225,5.79824552205791,1
Zosma154g00110.1,1.9347725967620548,3.821292829790239,5.689934520881818,1
Zosma03g17370.1,1.9703286511599756,3.8952936123735555,5.7977333188565074,1
Zosma01g34030.1,1.9802717089780384,3.928016397969549,5.826554893075627,1
Zosma05g10070.1,1.9709214732458682,3.909191559489323,5.817294285188351,1
Zosma01g30090.1,1.9988995279044066,3.970343436824992,5.896633901739566,1
Zosma05g33430.1,1.989194374726888,3.955747916049329,5.874554754136159,1
Zosma04g02070.1,1.997845800473888,3.9666595582921107,5.893143962130295,1
Zosma02g18640.1,1.99784068545946,3.947794940338403,5.868771969557415,1
Zosma05g06770.1,1.9834146774951387,3.947199201443686,5.8951917136547545,1
Zosma03g19160.1,1.9777729705185347,3.826080164729439,5.50611183205354,1
Zosma01g32620.1,1.9845851079864765,3.924786479165466,5.83926493950046,1
Zosma03g33280.1,1.9898949089733422,3.9208947288405214,5.810052123514174,1
Zosma05g02530.1,1.9903089110601209,3.9488474923253483,5.876712360643868,1
Zosma01g37420.1,1.9521983381798036,3.8688324987323703,5.751060364877687,1
Zosma01g03580.1,1.9948668207448268,3.9638424626119693,5.874548360792174,1
Zosma01g37450.1,1.9816846433880677,3.9379243202153567,5.863800828302313,1
Zosma06g03360.1,1.9705865109463032,3.9114742645558165,5.839302082206714,1
Zosma01g13830.1,1.960335808435218,3.879509947203136,5.783887676481129,1
Zosma05g25270.1,1.9740503574423618,3.9161322548669832,5.720455901796604,1
Zosma01g18660.1,1.9893800815146554,3.9700966860523823,5.8956606653980295,1
Zosma04g13620.1,1.9531634834487115,3.8858625495943406,5.803661907519324,1
Zosma06g28540.1,1.9938820563986042,3.94724275048254,5.864039457676842,1
Zosma06g06040.1,1.983623028162846,3.917608626671922,5.76482596524006,1
Zosma05g02420.1,1.966975195147279,3.907522562863358,5.8243658422022735,1
Zosma03g12640.1,1.9232351208097667,3.8347762489780717,5.692470176792795,1
Zosma02g22530.1,1.9507380173598161,3.8679245025289393,5.759980021996019,1
Zosma04g02510.1,1.9764126575012817,3.9062214867594345,5.778018974207497,1
Zosma05g24730.1,1.9842403731920717,3.9189554748467725,5.808311306559688,1
Zosma05g13700.1,1.970419068704213,3.905588041416185,5.8301113948969245,1
Zosma01g41510.1,1.9765610946470242,3.904645327302406,5.7166592621442325,1
Zosma04g20810.1,1.9573614280816851,3.8709514232969138,5.766516778705216,1
Zosma06g01840.1,1.9820172065296684,3.91933888572442,5.75432426872194,1
Zosma02g13860.1,1.9803788287196311,3.9408093547246166,5.864143306237776,1
Zosma03g16470.1,1.9721778400881584,3.912258097871992,5.801804116930706,1
Zosma06g20930.1,1.9709812660837236,3.904300172645689,5.782026147155795,1
Zosma04g04530.1,1.9956279243385406,3.9417536707163765,5.80891937110187,1
Zosma06g23300.1,1.9151146624764455,3.7940177710413243,5.476432597547133,1
Zosma01g16230.1,1.9593442780649437,3.8571285755338875,5.6984803034633815,1
